date,city,emd,code,money,market,readPop,workPop,visitPop
20170100,제주시,일도일동,G47121,13651050,490,1348,348,3967
20170100,제주시,일도일동,G47212,62621300,342,1348,348,3967
20170100,제주시,일도일동,G47129,400000,103,1348,348,3967
20170100,제주시,일도이동,I55112,17555250,1610,38841,2070,16176
20170100,제주시,일도이동,G47813,38172630,1091,38841,2070,16176
20170100,제주시,일도이동,I55111,110000,71,38841,2070,16176
20170100,제주시,일도이동,G47842,210970,198,38841,2070,16176
20170100,제주시,일도이동,I56112,15983500,234,38841,2070,16176
20170100,제주시,일도이동,I56111,918402230,6259,38841,2070,16176
20170100,제주시,일도이동,G47215,109556150,392,38841,2070,16176
20170100,제주시,일도이동,G47213,35101000,563,38841,2070,16176
20170100,제주시,일도이동,G47214,104645250,888,38841,2070,16176
20170100,제주시,일도이동,G47711,213416145,214,38841,2070,16176
20170100,제주시,일도이동,L69210,46480900,597,38841,2070,16176
20170100,제주시,일도이동,G47190,1992243450,109,38841,2070,16176
20170100,제주시,일도이동,G47119,71914780,15,38841,2070,16176
20170100,제주시,일도이동,I56220,16855850,397,38841,2070,16176
20170100,제주시,일도이동,S96121,540500,59,38841,2070,16176
20170100,제주시,일도이동,R91139,2286000,28,38841,2070,16176
20170100,제주시,일도이동,S96122,790000,34,38841,2070,16176
20170100,제주시,일도이동,G47216,1501500,233,38841,2070,16176
20170100,제주시,일도이동,N75992,2097000,180,38841,2070,16176
20170100,제주시,일도이동,N75211,21874820,621,38841,2070,16176
20170100,제주시,일도이동,I56114,19852700,905,38841,2070,16176
20170100,제주시,일도이동,I56113,77849500,293,38841,2070,16176
20170100,제주시,일도이동,I56211,186553500,632,38841,2070,16176
20170100,제주시,일도이동,I56192,77343270,231,38841,2070,16176
20170100,제주시,일도이동,I56219,221923500,509,38841,2070,16176
20170100,제주시,일도이동,I56119,42448014,148,38841,2070,16176
20170100,제주시,일도이동,G47122,183597620,738,38841,2070,16176
20170100,제주시,일도이동,G47121,438436340,490,38841,2070,16176
20170100,제주시,일도이동,G47212,94137060,342,38841,2070,16176
20170100,제주시,일도이동,G47129,74500,103,38841,2070,16176
20170100,제주시,이도일동,I55112,20401995,1610,8254,1741,10289
20170100,제주시,이도일동,G47813,17349530,1091,8254,1741,10289
20170100,제주시,이도일동,G47842,6757580,198,8254,1741,10289
20170100,제주시,이도일동,I55111,162765176,71,8254,1741,10289
20170100,제주시,이도일동,I56112,9662000,234,8254,1741,10289
20170100,제주시,이도일동,I56111,270138192,6259,8254,1741,10289
20170100,제주시,이도일동,G47215,42170150,392,8254,1741,10289
20170100,제주시,이도일동,G47213,276908055,563,8254,1741,10289
20170100,제주시,이도일동,G47214,189654358,888,8254,1741,10289
20170100,제주시,이도일동,G47711,35876849,214,8254,1741,10289
20170100,제주시,이도일동,L69210,68924420,597,8254,1741,10289
20170100,제주시,이도일동,G47190,135409000,109,8254,1741,10289
20170100,제주시,이도일동,I56220,5598020,397,8254,1741,10289
20170100,제주시,이도일동,S96121,2030300,59,8254,1741,10289
